,InA,OutA,InB,OutB,InC,OutC,f1,f2,f3,NetP,NetS,f1/f2,f1/f3,log2(InTT)
44,3.0,3.0,4.0,4.0,3.0,3.0,0.5191128621704775,0.449268465437482,0.0316186723920405,E:2N,10N,1.1554624953812047,16.41792089604483,3.321928094887362
45,2.0,3.0,5.0,3.0,2.0,3.0,0.6293509051341593,0.34179908331611,0.0288500115497307,E:2N,10N,1.8412890374902189,21.81458069953646,3.169925001442312
46,4.0,3.0,2.0,3.0,5.0,3.0,0.5383823804559912,0.421243952636784,0.0403736669072247,E:2N,10N,1.2780774111675126,13.334988414432326,3.4594316186372973
47,4.0,3.0,5.0,4.0,3.0,3.0,0.5182051881280673,0.4441847783750097,0.0376100334969229,E:2N,10N,1.166643283058576,13.77837613918809,3.584962500721156
48,2.0,3.0,5.0,4.0,3.0,3.0,0.5638780135998351,0.404406209217666,0.0317157771824988,E:2N,10N,1.3943356969980043,17.779101245262584,3.321928094887362
49,4.0,4.0,5.0,4.0,3.0,4.0,0.5319904365130496,0.4434279660410313,0.024581597445919,E:2N,10N,1.1997223388112228,21.641817122888806,3.584962500721156
50,4.0,4.0,3.0,4.0,2.0,4.0,0.5432966198252943,0.4150921002658564,0.0416112799088492,E:2N,10N,1.308858008806542,13.056474614945813,3.169925001442312
51,3.0,3.0,2.0,3.0,4.0,3.0,0.4965702260277274,0.4608909380070362,0.0425388359652363,E:2N,10N,1.077413733008017,11.673338368580087,3.169925001442312
52,2.0,4.0,2.0,7.0,2.0,3.0,0.6945989489431892,0.2826920863861291,0.0227089646706816,E:2N,10N,2.457086640884728,30.586993243243313,2.584962500721156
53,3.0,4.0,3.0,4.0,5.0,4.0,0.4740026414947753,0.4471118362273239,0.0788855222779007,E:2N,10N,1.0601433536055604,6.008740613073994,3.4594316186372973
54,4.0,4.0,3.0,3.0,2.0,4.0,0.5617849391163595,0.3920464996505168,0.0461685612331236,E:2N,10N,1.4329548653467208,12.168127490039852,3.169925001442312
55,3.0,3.0,4.0,4.0,3.0,3.0,0.4856542127830472,0.4729916488500927,0.0413541383668599,E:2N,10N,1.0267712209374922,11.743787489288799,3.321928094887362
56,3.0,4.0,3.0,3.0,4.0,5.0,0.4996105209075691,0.4749656098248173,0.0254238692676135,E:2N,10N,1.0518877800265194,19.65123859191661,3.321928094887362
57,6.0,3.0,4.0,3.0,3.0,4.0,0.5203062024182714,0.4543635244066278,0.0253302731751007,E:2N,10N,1.1451319801644748,20.540883977900602,3.700439718141092
58,3.0,4.0,3.0,4.0,2.0,4.0,0.5959799628241076,0.3675530071516335,0.0364670300242588,E:2N,10N,1.6214803068615264,16.342980561555095,3.0
59,2.0,4.0,2.0,4.0,2.0,4.0,0.696812151936206,0.2813928102277563,0.0217950378360376,E:2N,10N,2.476296929449668,31.971137521222513,2.584962500721156
60,2.0,3.0,5.0,3.0,3.0,3.0,0.5978763486898442,0.3741080093623337,0.0280156419478221,E:2N,10N,1.5981383283103807,21.340804890473777,3.321928094887362
61,4.0,3.0,3.0,3.0,3.0,4.0,0.5433329491759825,0.4102685259882447,0.0463985248357727,E:2N,10N,1.3243349532290236,11.710134128166924,3.321928094887362
62,6.0,3.0,4.0,3.0,4.0,3.0,0.5348982411392741,0.4369918699186992,0.0281098889420266,E:2N,10N,1.224046207630339,19.02882797731574,3.807354922057604
63,4.0,4.0,3.0,3.0,2.0,3.0,0.6105059950764218,0.3649646671271452,0.024529337796433,E:2N,10N,1.6727810938030767,24.888808664259994,3.169925001442312
